,team,opponent,date,result,score,opp_score
0,Villanova,Lafayette,2016-11-11,W,88,48
1,Villanova,Purdue,2016-11-14,W,79,76
2,Villanova,Western Michigan,2016-11-17,W,76,65
3,Villanova,Wake Forest,2016-11-18,W,96,77
4,Villanova,Central Florida,2016-11-20,W,67,57
5,Villanova,College of Charleston,2016-11-23,W,63,47
6,Villanova,Pennsylvania,2016-11-29,W,82,57
7,Villanova,Saint Joseph's,2016-12-03,W,88,57
8,Villanova,La Salle,2016-12-06,W,89,79
9,Villanova,Notre Dame,2016-12-10,W,74,66
10,Villanova,Temple,2016-12-13,W,78,57
11,Villanova,American,2016-12-21,W,90,48
12,Villanova,DePaul,2016-12-28,W,68,65
13,Villanova,Creighton,2016-12-31,W,80,70
14,Villanova,Butler,2017-01-04,L,58,66
15,Villanova,Marquette,2017-01-07,W,93,81
16,Villanova,Xavier,2017-01-10,W,79,54
17,Villanova,St. John's (NY),2017-01-14,W,70,57
18,Villanova,Seton Hall,2017-01-16,W,76,46
19,Villanova,Providence,2017-01-21,W,78,68
20,Villanova,Marquette,2017-01-24,L,72,74
21,Villanova,Virginia,2017-01-29,W,61,59
22,Villanova,Providence,2017-02-01,W,66,57
23,Villanova,St. John's (NY),2017-02-04,W,92,79
24,Villanova,Georgetown,2017-02-07,W,75,64
25,Villanova,Xavier,2017-02-11,W,73,57
26,Villanova,DePaul,2017-02-13,W,75,62
27,Villanova,Seton Hall,2017-02-18,W,92,70
28,Villanova,Butler,2017-02-22,L,66,74
29,Villanova,Creighton,2017-02-25,W,79,63
30,Villanova,Georgetown,2017-03-04,W,81,55
31,Villanova,St. John's (NY),2017-03-09,W,108,67
32,Villanova,Seton Hall,2017-03-10,W,55,53
33,Wisconsin,Central Arkansas,2016-11-11,W,79,47
34,Wisconsin,Creighton,2016-11-15,L,67,79
35,Wisconsin,Chicago State,2016-11-17,W,69,51
36,Wisconsin,Tennessee,2016-11-21,W,74,62
37,Wisconsin,Georgetown,2016-11-22,W,73,57
38,Wisconsin,North Carolina,2016-11-23,L,56,71
39,Wisconsin,Prairie View,2016-11-27,W,95,50
40,Wisconsin,Syracuse,2016-11-29,W,77,60
41,Wisconsin,Oklahoma,2016-12-03,W,90,70
42,Wisconsin,Idaho State,2016-12-07,W,78,44
43,Wisconsin,Marquette,2016-12-10,W,93,84
44,Wisconsin,Green Bay,2016-12-14,W,73,59
45,Wisconsin,Florida A&M,2016-12-23,W,90,37
46,Wisconsin,Rutgers,2016-12-27,W,72,52
47,Wisconsin,Indiana,2017-01-03,W,75,68
48,Wisconsin,Purdue,2017-01-08,L,55,66
49,Wisconsin,Ohio State,2017-01-12,W,89,66
50,Wisconsin,Michigan,2017-01-17,W,68,64
51,Wisconsin,Minnesota,2017-01-21,W,78,76
52,Wisconsin,Penn State,2017-01-24,W,82,55
53,Wisconsin,Rutgers,2017-01-28,W,61,54
54,Wisconsin,Illinois,2017-01-31,W,57,43
55,Wisconsin,Indiana,2017-02-05,W,65,60
56,Wisconsin,Nebraska,2017-02-09,W,70,69
57,Wisconsin,Northwestern,2017-02-12,L,59,66
58,Wisconsin,Michigan,2017-02-16,L,58,64
59,Wisconsin,Maryland,2017-02-19,W,71,60
60,Wisconsin,Ohio State,2017-02-23,L,73,83
61,Wisconsin,Michigan State,2017-02-26,L,74,84
62,Wisconsin,Iowa,2017-03-02,L,57,59
63,Wisconsin,Minnesota,2017-03-05,W,66,49
64,Wisconsin,Indiana,2017-03-10,W,70,60
65,Wisconsin,Northwestern,2017-03-11,W,76,48
66,Wisconsin,Michigan,2017-03-12,L,56,71
67,Virginia Tech,Maine,2016-11-11,W,80,67
68,Virginia Tech,High Point,2016-11-15,W,99,73
69,Virginia Tech,Virginia Military Institute,2016-11-19,W,88,72
70,Virginia Tech,New Mexico,2016-11-24,W,92,72
71,Virginia Tech,Texas A&M,2016-11-25,L,65,68
72,Virginia Tech,Nebraska,2016-11-27,W,66,53
73,Virginia Tech,Michigan,2016-11-30,W,73,70
74,Virginia Tech,Maryland-Eastern Shore,2016-12-07,W,75,59
75,Virginia Tech,Mississippi,2016-12-11,W,80,75
76,Virginia Tech,Citadel,2016-12-17,W,113,71
77,Virginia Tech,Charleston Southern,2016-12-20,W,87,59
78,Virginia Tech,Maryland-Baltimore County,2016-12-28,W,87,70
79,Virginia Tech,Duke,2016-12-31,W,89,75
80,Virginia Tech,North Carolina State,2017-01-04,L,78,104
81,Virginia Tech,Florida State,2017-01-07,L,78,93
82,Virginia Tech,Syracuse,2017-01-10,W,83,73
83,Virginia Tech,Notre Dame,2017-01-14,L,71,76
84,Virginia Tech,Georgia Tech,2017-01-18,W,62,61
85,Virginia Tech,Clemson,2017-01-22,W,82,81
86,Virginia Tech,North Carolina,2017-01-26,L,72,91
87,Virginia Tech,Boston College,2017-01-29,W,85,79
88,Virginia Tech,Virginia,2017-02-01,L,48,71
89,Virginia Tech,Miami (FL),2017-02-08,L,68,74
90,Virginia Tech,Virginia,2017-02-12,W,80,78
91,Virginia Tech,Pittsburgh,2017-02-14,W,66,63
92,Virginia Tech,Louisville,2017-02-18,L,90,94
93,Virginia Tech,Clemson,2017-02-21,W,71,70
94,Virginia Tech,Boston College,2017-02-25,W,91,75
95,Virginia Tech,Miami (FL),2017-02-27,W,66,61
96,Virginia Tech,Wake Forest,2017-03-04,L,84,89
97,Virginia Tech,Wake Forest,2017-03-08,W,99,90
98,Virginia Tech,Florida State,2017-03-09,L,68,74
99,Virginia,North Carolina-Greensboro,2016-11-11,W,76,51
100,Virginia,St. Francis (NY),2016-11-15,W,72,32
101,Virginia,Yale,2016-11-20,W,62,38
102,Virginia,Grambling,2016-11-22,W,90,34
103,Virginia,Iowa,2016-11-25,W,74,41
104,Virginia,Providence,2016-11-26,W,63,52
